D_code,D_name,Nama_Pemenang,Parti_Pemenang,Undi_Menang,Oppo.Nama,Oppo.Parti,Oppo.Undi,Majoriti,Penyandang.Nama,Penyandang.Parti
N1,Opar,Billy ak. Sujang,GPS (SUPP),3659,"Ranum ak. Mina, Dato",PSB,1970,1689,"Ranum ak. Mina, Dato",PSB
N1,Opar,Billy ak. Sujang,GPS (SUPP),3659,Freedy ak. Misid,PBK,1487,1689,"Ranum ak. Mina, Dato",PSB
N1,Opar,Billy ak. Sujang,GPS (SUPP),3659,Meneng ak. Biris,PKR,327,1689,"Ranum ak. Mina, Dato",PSB
N1,Opar,Billy ak. Sujang,GPS (SUPP),3659,Saini ak. Kakong,PBDSB,220,1689,"Ranum ak. Mina, Dato",PSB
N1,Opar,Billy ak. Sujang,GPS (SUPP),3659,Bayang ak. Teron,SEDAR,160,1689,"Ranum ak. Mina, Dato",PSB
N2,Tasik Biru,"Henry @ Harry  ak. Jinep, Dato",GPS (PDP),6325,Paul Shanon Kenbell Barin,PBK,2113,4212,"Henry @ Harry  ak. Jinep, Dato",GPS (PDP)
N2,Tasik Biru,"Henry @ Harry  ak. Jinep, Dato",GPS (PDP),6325,"Tiki ak. Lafe, Datuk Dr.",PSB,1980,4212,"Henry @ Harry  ak. Jinep, Dato",GPS (PDP)
N2,Tasik Biru,"Henry @ Harry  ak. Jinep, Dato",GPS (PDP),6325,Granda ak. Aing,DAP,1359,4212,"Henry @ Harry  ak. Jinep, Dato",GPS (PDP)
N3,Tanjung Datu,Azizul Annuar bin Adenan,GPS (PBB),5423,Jery'in bin Fauzi,PSB,921,4502,"Jamilah Anu, Puan Sri Datuk Amar Hajah",GPS (PBB)
N3,Tanjung Datu,Azizul Annuar bin Adenan,GPS (PBB),5423,Abdul Talip bin Ba'ee,Bebas,261,4502,"Jamilah Anu, Puan Sri Datuk Amar Hajah",GPS (PBB)
N3,Tanjung Datu,Azizul Annuar bin Adenan,GPS (PBB),5423,Goem ak. Pijar,PBK,226,4502,"Jamilah Anu, Puan Sri Datuk Amar Hajah",GPS (PBB)
N4,Pantai Damai,"Abdul Rahman bin Junaidi, Datuk Dr Haji",GPS (PBB),10699,Mahmud bin Sabli,PSB,2318,8381,"Abdul Rahman Junaidi, Datuk Dr Haji",GPS (PBB)
N5,Demak Laut,"Hazland bin Abang Hipni, Dr Haji",GPS (PBB),7636,Yatika binti Jelani,PSB,1237,6399,"Hazland Abang Hipni, Dr Haji",GPS (PBB)
N5,Demak Laut,"Hazland bin Abang Hipni, Dr Haji",GPS (PBB),7636,Khairul bin Ahmat,Bebas,674,6399,"Hazland Abang Hipni, Dr Haji",GPS (PBB)
N5,Demak Laut,"Hazland bin Abang Hipni, Dr Haji",GPS (PBB),7636,Mohamad Zen bin Peli,AMANAH,212,6399,"Hazland Abang Hipni, Dr Haji",GPS (PBB)
N6,Tupong,Fazzrudin bin Abdul Rahman,GPS (PBB),12544,Ahmad Nazib bin Johari,PKR,1335,11209,Fazzrudin Abdul Rahman,GPS (PBB)
N6,Tupong,Fazzrudin bin Abdul Rahman,GPS (PBB),12544,Chan Haong Yen,PBK,836,11209,Fazzrudin Abdul Rahman,GPS (PBB)
